Time,Precipitation,Temperature,IrradianceSurface,IrradianceToa,Snowfall,SnowMass,CloudCover,AirDensity,Demand,Location
2018-01-01 0:00,0.0099,-16.712,0,0,0.0099,17.2081,0.4445,1.3569,16627,1
2018-01-01 1:00,0.0112,-16.996,0,0,0.0112,17.2184,0.4399,1.3576,16084,2
2018-01-01 2:00,0.0113,-17.181,0,0,0.0113,17.2296,0.4381,1.3581,15866,3
2018-01-01 3:00,0.0125,-17.46,0,0,0.0125,17.2421,0.4491,1.3589,15725,4
2018-01-01 4:00,0.0156,-17.695,0,0,0.0156,17.2572,0.4836,1.3599,15470,5
2018-01-01 5:00,0.0191,-17.733,0,0,0.0191,17.2757,0.5571,1.3603,15502,6
2018-01-01 6:00,0.0194,-17.586,0,0,0.0194,17.296,0.587,1.3601,15750,7
2018-01-01 7:00,0.0211,-17.339,0,0,0.0211,17.3175,0.6204,1.3592,15887,8
2018-01-01 8:00,0.0195,-17.016,0,0,0.0195,17.339,0.6637,1.3574,15923,9
2018-01-01 9:00,0.0147,-16.609,0,0,0.0147,17.3573,0.6954,1.3557,16381,10
2018-01-01 10:00,0.0113,-16.162,0,0,0.0113,17.3717,0.7005,1.3546,16672,11
2018-01-01 11:00,0.0098,-15.799,0,0,0.0098,17.3834,0.685,1.3542,16720,12
2018-01-01 12:00,0.0101,-15.552,0.4052,1.8218,0.0101,17.3933,0.7118,1.3543,16839,13
2018-01-01 13:00,0.0116,-15.137,39.5903,123.3649,0.0116,17.4017,0.7398,1.3543,16772,14
2018-01-01 14:00,0.0143,-14.294,120.67,305.5636,0.0143,17.4061,0.6851,1.3533,16868,15
2018-01-01 15:00,0.0167,-13.198,197.5796,443.0313,0.0167,17.4023,0.6073,1.3498,17314,16
2018-01-01 16:00,0.0201,-12.317,250.3852,524.2742,0.0201,17.389,0.5753,1.3451,18081,17
2018-01-01 17:00,0.0261,-11.67,247.5711,543.6754,0.0261,17.3744,0.6355,1.3406,19339,18
2018-01-01 18:00,0.0338,-11.174,202.4183,499.9911,0.0338,17.3667,0.7383,1.3368,19249,19
2018-01-01 19:00,0.0479,-10.972,125.0019,396.1287,0.0479,17.3754,0.821,1.3349,18960,20
2018-01-01 20:00,0.0543,-11.194,54.9806,239.2249,0.0543,17.4018,0.8487,1.3357,18663,21
2018-01-01 21:00,0.0464,-11.886,9.9859,53.7157,0.0464,17.4341,0.754,1.3389,18074,22
2018-01-01 22:00,0.0367,-12.777,0.0091,0.0407,0.0367,17.463,0.6121,1.3429,17218,23
2018-01-01 23:00,0.0257,-13.493,0,0,0.0257,17.4853,0.5328,1.3458,16356,24
2018-01-02 0:00,0.0184,-14.111,0,0,0.0184,17.5014,0.5226,1.3475,15809,25
2018-01-02 1:00,0.018,-14.394,0,0,0.018,17.5164,0.5942,1.3476,15465,26
2018-01-02 2:00,0.0224,-14.055,0,0,0.0224,17.5354,0.6687,1.3458,15255,27
2018-01-02 3:00,0.0233,-13.376,0,0,0.0233,17.5574,0.7265,1.3433,15236,28
2018-01-02 4:00,0.0188,-12.973,0,0,0.0188,17.5756,0.7169,1.3412,15275,29
2018-01-02 5:00,0.0175,-12.769,0,0,0.0175,17.5906,0.7231,1.3396,15726,30
2018-01-02 6:00,0.0285,-12.617,0,0,0.0285,17.6107,0.7461,1.3387,16874,31
2018-01-02 7:00,0.0239,-12.495,0,0,0.0239,17.6328,0.7662,1.3382,17897,32
2018-01-02 8:00,0.02,-12.452,0,0,0.02,17.6511,0.8129,1.3374,18232,33
2018-01-02 9:00,0.0167,-12.393,0,0,0.0167,17.6665,0.8802,1.3366,18739,34
2018-01-02 10:00,0.0151,-12.373,0,0,0.0151,17.6792,0.9627,1.3363,19030,35
2018-01-02 11:00,0.0165,-12.36,0,0,0.0165,17.6913,0.989,1.3364,19126,36
2018-01-02 12:00,0.0205,-12.257,0.3014,1.9902,0.0205,17.7048,0.9912,1.3364,18984,37
2018-01-02 13:00,0.0226,-11.872,29.4938,124.9587,0.0226,17.719,0.9869,1.3353,18873,38
2018-01-02 14:00,0.0253,-11.087,87.2418,307.3259,0.0253,17.7288,0.9898,1.3321,18753,39
2018-01-02 15:00,0.0342,-10.342,132.695,444.8966,0.0342,17.7349,0.9914,1.3281,18883,40
2018-01-02 16:00,0.0404,-9.728,161.3381,526.1924,0.0404,17.7389,0.9902,1.324,19396,41
2018-01-02 17:00,0.0382,-9.18,188.2674,545.6563,0.0382,17.736,0.9844,1.3198,20331,42
2018-01-02 18:00,0.0373,-8.775,181.8291,501.9319,0.0373,17.7268,0.9659,1.3166,19890,43
2018-01-02 19:00,0.0372,-8.591,138.0321,398.0046,0.0372,17.7187,0.8928,1.3148,19937,44
2018-01-02 20:00,0.037,-8.642,73.2301,240.9731,0.037,17.7178,0.8268,1.3142,19633,45
2018-01-02 21:00,0.0259,-8.958,13.0444,54.857,0.0259,17.722,0.7794,1.3151,18816,46
2018-01-02 22:00,0.017,-9.283,0.0064,0.0452,0.017,17.7264,0.7329,1.3164,17792,47
2018-01-02 23:00,0.0113,-9.56,0,0,0.0113,17.7297,0.7681,1.3176,16921,48
2018-01-03 0:00,0.0085,-9.842,0,0,0.0085,17.7324,0.848,1.3187,16277,49
2018-01-03 1:00,0.0095,-10.147,0,0,0.0095,17.7362,0.8961,1.3197,15835,50
2018-01-03 2:00,0.0112,-10.594,0,0,0.0112,17.7423,0.9363,1.3217,15606,51
2018-01-03 3:00,0.0118,-11.097,0,0,0.0118,17.7501,0.9509,1.3245,15554,52
2018-01-03 4:00,0.0116,-11.544,0,0,0.0116,17.7576,0.9618,1.3269,15656,53
2018-01-03 5:00,0.0113,-11.904,0,0,0.0113,17.7638,0.9669,1.3287,16088,54
2018-01-03 6:00,0.0131,-12.188,0,0,0.0131,17.7702,0.9739,1.3299,17140,55
2018-01-03 7:00,0.013,-12.407,0,0,0.013,17.778,0.9809,1.3308,18148,56
2018-01-03 8:00,0.0135,-12.48,0,0,0.0135,17.7864,0.9868,1.3308,18464,57
2018-01-03 9:00,0.0138,-12.291,0,0,0.0138,17.7941,0.9805,1.3293,18933,58
2018-01-03 10:00,0.0148,-12.097,0,0,0.0148,17.8015,0.9636,1.3273,19013,59
2018-01-03 11:00,0.0156,-11.997,0,0,0.0156,17.8105,0.9399,1.326,18830,60
2018-01-03 12:00,0.0166,-11.927,0.4054,2.1858,0.0166,17.8214,0.8908,1.3249,18804,61
2018-01-03 13:00,0.0172,-11.638,48.2454,126.6946,0.0172,17.8316,0.6999,1.3235,18848,62
2018-01-03 14:00,0.0171,-10.768,157.6412,309.2751,0.0171,17.8332,0.6205,1.3206,18860,63
2018-01-03 15:00,0.0177,-9.675,240.1784,446.9105,0.0177,17.8203,0.8451,1.3156,19119,64
2018-01-03 16:00,0.0197,-8.751,247.3216,528.2711,0.0197,17.794,0.9431,1.3103,19471,65
2018-01-03 17:00,0.0251,-8.214,184.9173,547.6966,0.0251,17.7662,0.9379,1.306,20380,66
2018-01-03 18:00,0.0349,-7.901,143.5838,503.9993,0.0349,17.7507,0.9252,1.3032,20108,67
2018-01-03 19:00,0.0465,-7.756,95.9492,400.0112,0.0465,17.753,0.9407,1.3016,20005,68
2018-01-03 20:00,0.0549,-7.798,42.588,242.9105,0.0549,17.7745,0.9405,1.3011,19754,69
2018-01-03 21:00,0.0541,-7.998,7.6458,56.111,0.0541,17.8086,0.9163,1.3015,19002,70
2018-01-03 22:00,0.0543,-8.251,0.0128,0.0508,0.0543,17.8481,0.8952,1.3027,18102,71
2018-01-03 23:00,0.0488,-8.422,0,0,0.0488,17.8874,0.9033,1.3041,16963,72
2018-01-04 0:00,0.0418,-8.623,0,0,0.0418,17.9225,0.901,1.3056,16223,73
2018-01-04 1:00,0.0379,-8.942,0,0,0.0379,17.9534,0.8838,1.3069,15787,74
2018-01-04 2:00,0.027,-9.332,0,0,0.027,17.9782,0.8201,1.3081,15467,75
2018-01-04 3:00,0.0181,-9.886,0,0,0.0181,17.9961,0.7248,1.3095,15185,76
2018-01-04 4:00,0.0139,-10.552,0,0,0.0139,18.0107,0.6688,1.3106,15412,77
2018-01-04 5:00,0.0121,-10.996,0,0,0.0121,18.0244,0.7004,1.311,15902,78
2018-01-04 6:00,0.0138,-11.128,0,0,0.0138,18.0389,0.6731,1.3111,17158,79
2018-01-04 7:00,0.0138,-11.221,0,0,0.0138,18.0544,0.5812,1.3107,18198,80
2018-01-04 8:00,0.0169,-11.242,0,0,0.0169,18.0724,0.562,1.3099,18537,81
2018-01-04 9:00,0.0179,-11.144,0,0,0.0179,18.0929,0.5558,1.3097,18760,82
2018-01-04 10:00,0.0171,-11.111,0,0,0.0171,18.1133,0.5436,1.3114,18699,83
2018-01-04 11:00,0.016,-11.454,0,0,0.016,18.131,0.5288,1.3149,18639,84
2018-01-04 12:00,0.0153,-12.062,0.3602,2.4087,0.0153,18.1454,0.4939,1.3184,18537,85
2018-01-04 13:00,0.0163,-12.318,47.564,128.5818,0.0163,18.1587,0.4761,1.3209,18546,86
2018-01-04 14:00,0.0154,-11.67,150.9257,311.328,0.0154,18.1645,0.5176,1.3214,18299,87
2018-01-04 15:00,0.0174,-11.167,237.7693,449.0914,0.0174,18.155,0.5803,1.3204,18613,88
2018-01-04 16:00,0.0238,-10.975,266.3751,530.5209,0.0238,18.1382,0.6907,1.319,19028,89
2018-01-04 17:00,0.0304,-10.945,245.7229,549.9546,0.0304,18.1235,0.7915,1.3177,19935,90
2018-01-04 18:00,0.0377,-11.052,197.8136,506.2471,0.0377,18.1162,0.8227,1.3172,19930,91
2018-01-04 19:00,0.0439,-11.371,135.7602,402.2116,0.0439,18.1195,0.8619,1.3182,19980,92
2018-01-04 20:00,0.0465,-11.928,66.8063,244.9616,0.0465,18.1335,0.8757,1.3208,19856,93
2018-01-04 21:00,0.0468,-12.667,12.0309,57.4775,0.0468,18.1563,0.8833,1.3245,19678,94
2018-01-04 22:00,0.0464,-13.405,0.0173,0.0578,0.0464,18.184,0.8813,1.3286,18889,95
2018-01-04 23:00,0.0454,-14.051,0,0,0.0454,18.2118,0.8853,1.3325,17940,96
2018-01-05 0:00,0.0438,-14.683,0,0,0.0438,18.2392,0.8892,1.3363,17475,97
2018-01-05 1:00,0.0448,-15.291,0,0,0.0448,18.2679,0.8608,1.3397,16808,98
2018-01-05 2:00,0.0437,-15.833,0,0,0.0437,18.2982,0.8628,1.3426,16679,99
2018-01-05 3:00,0.0421,-16.379,0,0,0.0421,18.3284,0.8715,1.3456,16620,100
2018-01-05 4:00,0.0437,-16.924,0,0,0.0437,18.3601,0.884,1.3485,16706,101
2018-01-05 5:00,0.044,-17.429,0,0,0.044,18.3932,0.8924,1.3515,17173,102
2018-01-05 6:00,0.0556,-17.907,0,0,0.0556,18.4333,0.8979,1.3545,18123,103
2018-01-05 7:00,0.0536,-18.314,0,0,0.0536,18.4778,0.9087,1.3574,19177,104
2018-01-05 8:00,0.0565,-18.665,0,0,0.0565,18.5235,0.9178,1.3597,19660,105
2018-01-05 9:00,0.0596,-18.897,0,0,0.0596,18.5727,0.9209,1.3612,19836,106
2018-01-05 10:00,0.0549,-19.014,0,0,0.0549,18.6208,0.9223,1.3622,19789,107
2018-01-05 11:00,0.0516,-19.101,0,0,0.0516,18.6651,0.9237,1.3632,19773,108
2018-01-05 12:00,0.0516,-19.194,0.364,2.6632,0.0516,18.7079,0.9217,1.3644,19585,109
2018-01-05 13:00,0.0457,-19.193,29.8838,130.6108,0.0457,18.747,0.9164,1.3655,19503,110
2018-01-05 14:00,0.0427,-18.921,91.7438,313.5565,0.0427,18.7787,0.912,1.3661,19430,111
2018-01-05 15:00,0.0368,-18.46,146.103,451.4492,0.0368,18.8011,0.9091,1.3652,19647,112
2018-01-05 16:00,0.0403,-17.966,185.7815,532.9453,0.0403,18.818,0.9104,1.3631,20022,113
2018-01-05 17:00,0.0518,-17.556,193.8566,552.4411,0.0518,18.8392,0.912,1.3608,20906,114
2018-01-05 18:00,0.0623,-17.246,172.6488,508.6505,0.0623,18.8701,0.9233,1.3589,20706,115
2018-01-05 19:00,0.0726,-17.07,121.0077,404.5118,0.0726,18.9126,0.9257,1.3578,20429,116
2018-01-05 20:00,0.0905,-16.988,61.5212,247.188,0.0905,18.9731,0.9286,1.3572,20276,117
2018-01-05 21:00,0.0802,-16.995,11.0227,58.9625,0.0802,19.0401,0.9124,1.3571,19754,118
2018-01-05 22:00,0.0546,-17.105,0.0195,0.0659,0.0546,19.0924,0.7783,1.3573,18914,119
2018-01-05 23:00,0.0541,-17.409,0,0,0.0541,19.1356,0.6918,1.3581,18064,120
2018-01-06 0:00,0.039,-17.633,0,0,0.039,19.1717,0.6985,1.3591,17293,121
2018-01-06 1:00,0.0349,-17.657,0,0,0.0349,19.2001,0.7315,1.3598,16937,122
2018-01-06 2:00,0.0356,-17.7,0,0,0.0356,19.2273,0.7063,1.3606,16505,123
2018-01-06 3:00,0.0332,-18.07,0,0,0.0332,19.254,0.6547,1.3627,16599,124
2018-01-06 4:00,0.0353,-18.511,0,0,0.0353,19.2814,0.7055,1.3654,16647,125
2018-01-06 5:00,0.0384,-18.845,0,0,0.0384,19.3114,0.7691,1.3683,16764,126
2018-01-06 6:00,0.0133,-19.116,0,0,0.0133,19.3281,0.8143,1.3709,17155,127
2018-01-06 7:00,0.0127,-19.319,0,0,0.0127,19.3333,0.829,1.3732,17841,128
2018-01-06 8:00,0.0127,-19.589,0,0,0.0127,19.3383,0.8298,1.375,18703,129
2018-01-06 9:00,0.0133,-19.948,0,0,0.0133,19.3441,0.8083,1.3769,19116,130
2018-01-06 10:00,0.0135,-20.189,0,0,0.0135,19.351,0.8303,1.3789,19225,131
2018-01-06 11:00,0.0139,-20.273,0,0,0.0139,19.3586,0.8195,1.3806,19340,132
2018-01-06 12:00,0.0145,-20.351,0.4568,2.9547,0.0145,19.3668,0.8206,1.3819,19153,133
2018-01-06 13:00,0.0135,-20.237,37.9799,132.7665,0.0135,19.3745,0.8186,1.3831,18895,134
2018-01-06 14:00,0.0115,-19.408,115.1909,315.9296,0.0115,19.3774,0.8497,1.383,18781,135
2018-01-06 15:00,0.0093,-18.529,172.4008,453.9455,0.0093,19.3719,0.8817,1.3811,19077,136
2018-01-06 16:00,0.0099,-17.868,207.3098,535.476,0.0099,19.3598,0.9117,1.3785,19741,137
2018-01-06 17:00,0.0122,-17.37,208.8953,555.0124,0.0122,19.346,0.9067,1.3758,20768,138
2018-01-06 18:00,0.0137,-17.011,184.5341,511.1898,0.0137,19.3333,0.9047,1.3737,20217,139
2018-01-06 19:00,0.0149,-16.817,134.5626,406.9903,0.0149,19.324,0.9065,1.3727,19782,140
2018-01-06 20:00,0.0164,-16.807,71.0165,249.537,0.0164,19.3208,0.9014,1.3725,19725,141
2018-01-06 21:00,0.0128,-16.972,13.2117,60.5687,0.0128,19.3223,0.8727,1.3725,19538,142
2018-01-06 22:00,0.0056,-17.305,0.0112,0.0755,0.0056,19.3228,0.787,1.3723,18723,143
2018-01-06 23:00,0.0034,-17.764,0,0,0.0034,19.3217,0.6199,1.3723,17819,144
2018-01-07 0:00,0.0024,-18.358,0,0,0.0024,19.3217,0.485,1.3721,17015,145
2018-01-07 1:00,0.0023,-18.863,0,0,0.0023,19.3231,0.327,1.3717,16531,146
2018-01-07 2:00,0.0031,-19.244,0,0,0.0031,19.3258,0.2537,1.3713,16240,147
2018-01-07 3:00,0.0046,-19.704,0,0,0.0046,19.3302,0.2263,1.3716,16103,148
2018-01-07 4:00,0.0068,-20.015,0,0,0.0068,19.3368,0.2125,1.3719,16031,149
2018-01-07 5:00,0.0084,-20.201,0,0,0.0084,19.3455,0.2189,1.3715,16095,150
2018-01-07 6:00,0.0084,-20.27,0,0,0.0084,19.3552,0.2452,1.3706,16439,151
2018-01-07 7:00,0.0068,-20.156,0,0,0.0068,19.3639,0.2828,1.3695,16797,152
2018-01-07 8:00,0.0059,-19.996,0,0,0.0059,19.3715,0.365,1.3679,17181,153
2018-01-07 9:00,0.009,-19.627,0,0,0.009,19.3808,0.5571,1.3662,17757,154
2018-01-07 10:00,0.0106,-18.883,0,0,0.0106,19.3928,0.7174,1.3645,18095,155
2018-01-07 11:00,0.0124,-18,0,0,0.0124,19.406,0.7777,1.3622,18351,156
2018-01-07 12:00,0.0149,-17.128,0.8104,3.2828,0.0149,19.4208,0.8259,1.3592,18486,157
2018-01-07 13:00,0.0145,-15.556,48.3824,135.0768,0.0145,19.4333,0.9335,1.3552,18714,158
2018-01-07 14:00,0.0129,-13.558,112.8638,318.4489,0.0129,19.4353,0.9735,1.3492,18784,159
2018-01-07 15:00,0.0142,-12.152,165.6413,456.5892,0.0142,19.4251,0.9801,1.3419,18833,160
2018-01-07 16:00,0.0225,-11.052,194.9024,538.2283,0.0225,19.4088,0.9783,1.3344,19370,161
2018-01-07 17:00,0.038,-10.207,196.5542,557.7644,0.038,19.3967,0.9833,1.3275,20429,162
2018-01-07 18:00,0.0713,-9.511,174.7278,513.9176,0.0713,19.4065,0.9829,1.3214,19967,163
2018-01-07 19:00,0.1246,-8.992,125.883,409.6255,0.1246,19.4637,0.9712,1.3164,19363,164
2018-01-07 20:00,0.1563,-8.635,59.2984,252.0451,0.1563,19.5707,0.966,1.3124,18821,165
2018-01-07 21:00,0.1264,-8.326,12.0797,62.2948,0.1264,19.684,0.9543,1.3085,18019,166
2018-01-07 22:00,0.11,-7.893,0.0126,0.0874,0.11,19.7804,0.9435,1.3048,17172,167
2018-01-07 23:00,0.1515,-7.363,0,0,0.1515,19.8938,0.907,1.3011,16221,168
2018-01-08 0:00,0.183,-6.842,0,0,0.183,20.0419,0.9092,1.2976,15521,169
2018-01-08 1:00,0.1864,-6.376,0,0,0.1864,20.2032,0.9094,1.2944,15129,170
2018-01-08 2:00,0.1311,-5.931,0,0,0.1311,20.3359,0.9295,1.2912,14916,171
2018-01-08 3:00,0.094,-5.392,0,0,0.094,20.4235,0.9652,1.2874,14880,172
2018-01-08 4:00,0.1139,-4.802,0,0,0.1139,20.5053,0.9779,1.2836,14919,173
2018-01-08 5:00,0.1969,-4.325,0,0,0.1969,20.6422,0.979,1.2805,15426,174
2018-01-08 6:00,0.2888,-3.941,0,0,0.2888,20.872,0.9794,1.278,16606,175
2018-01-08 7:00,0.3063,-3.584,0,0,0.3057,21.1561,0.9816,1.2756,17913,176
2018-01-08 8:00,0.2971,-3.3,0,0,0.2951,21.4442,0.9803,1.273,18029,177
2018-01-08 9:00,0.2714,-2.998,0,0,0.2656,21.7145,0.9826,1.2702,18047,178
2018-01-08 10:00,0.3885,-2.624,0,0,0.3828,22.0379,0.9818,1.2675,18239,179
2018-01-08 11:00,0.5037,-2.285,0,0,0.4895,22.4781,0.977,1.2653,18177,180
2018-01-08 12:00,0.5448,-1.965,0.1282,3.6538,0.5282,22.9922,0.972,1.2634,18185,181
2018-01-08 13:00,0.4024,-1.649,11.7762,137.5224,0.3768,23.4414,0.9606,1.2616,18242,182
2018-01-08 14:00,0.2851,-1.208,49.5128,321.1212,0.2529,23.7517,0.9119,1.2596,18245,183
2018-01-08 15:00,0.2868,-0.665,116.6222,459.3683,0.2432,23.9177,0.8121,1.2572,18103,184
2018-01-08 16:00,0.2312,-0.242,159.2857,541.0804,0.1862,23.8962,0.712,1.2547,18502,185
2018-01-08 17:00,0.1341,0.083,218.4737,560.6624,0.1155,23.6526,0.5087,1.2521,19355,186
2018-01-08 18:00,0.0924,0.308,229.3689,516.8099,0.081,23.2248,0.437,1.2505,19080,187
2018-01-08 19:00,0.0657,0.387,188.3367,412.4308,0.0565,22.8089,0.4034,1.2501,18840,188
2018-01-08 20:00,0.0383,0.298,106.2938,254.7115,0.0296,22.5807,0.4154,1.2507,18477,189
2018-01-08 21:00,0.0231,-0.095,20.2548,64.1458,0.0173,22.5172,0.4318,1.2526,17814,190
2018-01-08 22:00,0.0168,-0.549,0.0275,0.1009,0.013,22.5071,0.4158,1.255,16740,191
2018-01-08 23:00,0.0164,-0.897,0,0,0.0137,22.502,0.3518,1.2571,15681,192
2018-01-09 0:00,0.0227,-1.315,0,0,0.0202,22.5099,0.358,1.2595,14900,193
2018-01-09 1:00,0.0322,-1.54,0,0,0.0292,22.5303,0.3976,1.2615,14375,194
2018-01-09 2:00,0.0382,-1.776,0,0,0.0346,22.5591,0.4445,1.2631,14203,195
2018-01-09 3:00,0.0309,-1.977,0,0,0.0276,22.588,0.4691,1.2647,14134,196
2018-01-09 4:00,0.0265,-2.298,0,0,0.0244,22.6104,0.4548,1.2668,14246,197
2018-01-09 5:00,0.0267,-2.781,0,0,0.0256,22.633,0.4331,1.2692,14863,198
2018-01-09 6:00,0.0799,-3.118,0,0,0.0626,22.6841,0.4172,1.2715,16195,199
2018-01-09 7:00,0.0508,-3.449,0,0,0.0427,22.7425,0.3838,1.2741,17635,200
2018-01-09 8:00,0.0355,-3.853,0,0,0.0332,22.7825,0.4063,1.2764,17553,201
2018-01-09 9:00,0.0262,-4.294,0,0,0.0252,22.8109,0.4033,1.2787,17577,202
2018-01-09 10:00,0.0179,-4.73,0,0,0.0172,22.83,0.3604,1.281,17574,203
2018-01-09 11:00,0.0199,-5.288,0,0,0.0198,22.8479,0.318,1.2834,17652,204
2018-01-09 12:00,0.0372,-5.767,1.0227,4.0706,0.0356,22.8799,0.3097,1.2858,17417,205
